,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
Mean,0.0856940852816513,0.08507381067408998,0.08672041899000298,0.08758166622021513,0.0907631612271556,0.0871958840828158,0.10007845471650063,0.08341827644065412,0.09053363757994393,0.08745721076808564,0.08388810094281184,0.0826448644156586,0.08068889828196575,0.08073166146129078,0.08064817521708902,0.07946136601737146
Median,0.08661575868820465,0.08651690112732835,0.0875311514957455,0.08716620493156571,0.0896716133684396,0.09016805870578404,0.0949407069925145,0.0824506543079549,0.0876113101676298,0.08860113956563401,0.0844573791754849,0.08372287916797465,0.0813095234102882,0.08184737616474745,0.0813116370654208,0.0803563417883526
Min,0.0770483721317318,0.0765603381382036,0.0773480089532434,0.0711194311082343,0.0770766902013671,0.0756000072425207,0.0735526436419537,0.0745889414238741,0.072679333396674,0.0779948683974902,0.0722032756781333,0.072135841333133,0.0716318398590446,0.073435772007076,0.0730483043408087,0.0713542111520519
Max,0.0944495106850685,0.0933500922043497,0.0952924303190711,0.1120415415823865,0.1140847931009289,0.0997587785306358,0.1905601528335297,0.0984563848953926,0.1466872943731853,0.0951418701203199,0.093915177325085,0.088706883661552,0.0886831379730345,0.0878363253144496,0.0870085129069735,0.0863367715121654
IQR,0.009055138428549742,0.008587965009277596,0.007897119462431532,0.011440273396601669,0.017131320950123582,0.013088686374552114,0.015098219664767543,0.005213561487635826,0.009900202521031673,0.008311347601785854,0.00762850066849087,0.006925043988019783,0.008466175596113623,0.004904696856782409,0.009789196044943951,0.008129252636416576
Std,0.005973966485521066,0.005915260061742262,0.0057009896923416545,0.011038078742070996,0.011793508288645664,0.008106477127300572,0.029973581926737627,0.006668730340718771,0.01990486308012144,0.005627011010359828,0.006558687230104362,0.0055475937828975514,0.005304418699803017,0.00469921036114006,0.0050700036894941285,0.00490965967259096
