,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
Mean,0.5682449269061111,1.6487559021514746,0.5771910579294521,0.560120558816862,0.5510271463873331,0.5731653749619315,0.562709853333485,0.5368541613538859,0.5900797780000028,0.5773411707838115,0.5239258053043717,0.5199097220161342,0.5132177398073934,0.5259199576371764,0.5116516110956373,0.5032102616535267
Median,0.585048834361428,0.579436810071837,0.6084952851428447,0.5465375514001738,0.5485553691457594,0.5965792842841692,0.554214895491236,0.5599142588330848,0.5427593759187193,0.6011648491910888,0.5315282223607714,0.5253685700099493,0.5303098368006058,0.5309341425860726,0.5244990343523088,0.5176254350074908
Min,0.4451996511155237,0.432913245019537,0.4416024512283833,0.3605798602569796,0.3903382568215242,0.398528918713823,0.3657947709419078,0.3801474277358574,0.3814231038231156,0.4489617886911295,0.3769053643048236,0.3647187554927941,0.365642637736068,0.3672769095442914,0.3833387574856245,0.364891346616402
Max,0.6798955843939444,8.13917795228707,0.6801566182063278,0.9876157233165151,0.7728959971753938,0.6886899045295782,0.7713017210655576,0.6404066679165618,1.0619346343221343,0.6767622601698468,0.6396829284657376,0.658012040052142,0.5967044932573444,0.6462508584067506,0.5996260156180375,0.587779830670631
IQR,0.12095251123616513,0.14977384904169644,0.12260120286960319,0.13702751178550726,0.10120921509200498,0.06947699921994788,0.12883983780939606,0.10896364206221504,0.14946245828441196,0.12888603414303468,0.1355734803412847,0.12176975586828481,0.11861939724009357,0.14118121872772071,0.10903692455359937,0.10156562669186625
Std,0.07753460176061712,2.6022435728700377,0.07967968164334309,0.15911354737065922,0.0957276856673808,0.08740337460660653,0.11203252137651767,0.07632589680671131,0.18832946229550981,0.07877428172456563,0.08002434990977554,0.08202588753613485,0.07257264104831883,0.08545750612387466,0.06812902196050968,0.06874326167521491
