,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
GSVR,0.02685546875,0.5693359375,0.02099609375,1.0,0.423828125,0.17626953125,0.67724609375,0.7333984375,0.30126953125,0.02685546875,0.5693359375,0.5185546875,0.38037109375,0.0341796875,0.2333984375,0.5185546875
MLPrelu,0.00048828125,0.09228515625,0.00048828125,0.423828125,1.0,0.26611328125,0.10986328125,0.10986328125,1.0,0.00048828125,0.05224609375,0.09228515625,0.20361328125,0.0009765625,0.00341796875,0.17626953125
RPSOELM,0.00048828125,0.4697265625,0.00048828125,0.67724609375,0.10986328125,0.2333984375,1.0,0.20361328125,0.6220703125,0.00048828125,0.0771484375,0.1513671875,0.04248046875,0.0009765625,0.01611328125,0.5185546875
LSTM,0.00048828125,0.0048828125,0.00048828125,0.17626953125,0.26611328125,1.0,0.2333984375,0.0341796875,0.90966796875,0.00048828125,0.12939453125,0.17626953125,0.12939453125,0.0341796875,0.01220703125,0.17626953125
RF,0.00048828125,0.791015625,0.00048828125,0.7333984375,0.10986328125,0.0341796875,0.20361328125,1.0,0.2333984375,0.00048828125,0.67724609375,0.67724609375,0.85009765625,0.00048828125,0.5693359375,0.9697265625
ARIMA,1.0,0.00048828125,0.00048828125,0.02685546875,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.2333984375,0.6220703125,0.00048828125,0.00048828125,0.00048828125,0.09228515625,0.00048828125,0.00048828125
ETS,0.00048828125,0.00048828125,1.0,0.02099609375,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.2333984375,0.00146484375,0.00048828125,0.00048828125,0.00048828125,0.05224609375,0.00048828125,0.00048828125
ARFIMA,0.00048828125,1.0,0.00048828125,0.5693359375,0.09228515625,0.0048828125,0.4697265625,0.791015625,0.33935546875,0.00048828125,0.9697265625,0.90966796875,0.90966796875,0.00048828125,0.67724609375,0.791015625
Nbeats,0.6220703125,0.00048828125,0.00146484375,0.02685546875,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.2333984375,1.0,0.00048828125,0.00048828125,0.00048828125,0.09228515625,0.00048828125,0.00048828125
EELM,0.2333984375,0.33935546875,0.2333984375,0.30126953125,1.0,0.90966796875,0.6220703125,0.2333984375,1.0,0.2333984375,0.10986328125,0.1513671875,0.00927734375,0.33935546875,0.02099609375,0.12939453125
RVFL,0.00048828125,0.9697265625,0.00048828125,0.5693359375,0.05224609375,0.12939453125,0.0771484375,0.67724609375,0.10986328125,0.00048828125,1.0,0.18231443298387762,0.4697265625,0.00048828125,0.17626953125,0.90966796875
edRVFLFSLRPool,0.00048828125,0.90966796875,0.00048828125,0.38037109375,0.20361328125,0.12939453125,0.04248046875,0.85009765625,0.00927734375,0.00048828125,0.4697265625,0.4697265625,1.0,0.00048828125,0.5693359375,0.85009765625
edRVFL,0.00048828125,0.90966796875,0.00048828125,0.5185546875,0.09228515625,0.17626953125,0.1513671875,0.67724609375,0.1513671875,0.00048828125,0.18231443298387762,1.0,0.4697265625,0.00048828125,0.30126953125,0.9697265625
AARIMAedRVFL,0.00048828125,0.67724609375,0.00048828125,0.2333984375,0.00341796875,0.01220703125,0.01611328125,0.5693359375,0.02099609375,0.00048828125,0.17626953125,0.30126953125,0.5693359375,0.00048828125,1.0,0.17626953125
MARIMAedRVFL,0.09228515625,0.00048828125,0.05224609375,0.0341796875,0.0009765625,0.0341796875,0.0009765625,0.00048828125,0.33935546875,0.09228515625,0.00048828125,0.00048828125,0.00048828125,1.0,0.00048828125,0.00048828125
Ensemble,0.00048828125,0.791015625,0.00048828125,0.5185546875,0.17626953125,0.17626953125,0.5185546875,0.9697265625,0.12939453125,0.00048828125,0.90966796875,0.9697265625,0.85009765625,0.00048828125,0.17626953125,1.0
