,Year,Station,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
0,2019,46083,1.1666528856265883,1.0737056472713422,1.2018504412333426,1.0658959279680296,1.119368605829841,1.175177118542,1.117848220215217,1.129328831556622,1.0936203814378291,1.161248357446833,1.1153962365282863,1.1051384430514184,1.0997808572954282,1.2585289554298618,1.0997584867363694,1.1210360925113174
1,2019,46080,1.7568462960136717,1.5073109891049352,1.7886702040921032,3.186028295979322,1.6229467163852773,1.6808314211145812,1.6124251429156187,1.4872107320305339,8.927858745073866,1.7531302754327462,1.6662080529710999,1.693350180943628,1.9525818810862652,1.9136822789340329,1.5402357111861078,1.6698164433051847
2,2019,46076,1.4656996444916077,1.2805578384036462,1.4946286117702074,1.386797923631424,1.3540057723188281,1.3920700684541647,1.2886588143524804,1.253634773766703,1.305485542717939,1.4659486683122878,1.2972948721967898,1.2905810586147133,1.295020041121609,1.3856506866270846,1.290383330168081,1.3012077145696885
3,2019,46001,1.7246821741636882,1.479090899548591,1.7316710396637278,1.394937399587148,1.6087589890758314,1.5284422100374484,1.6089351566741132,1.5716176847588952,1.6180641041390325,1.711765333186991,1.5830120956987936,1.5811481325028185,1.5566017168648956,1.6775805440399982,1.539020903372254,1.522729009031635
4,2018,46083,1.5195534854450925,1.307314165763145,1.5252782756190244,1.2827736297579007,1.2850090664647833,1.2893537121442795,1.2487968946446024,1.2557899900811418,1.264599259172152,1.5013558737453887,1.2352847316108655,1.2710941111772058,1.2399928922575332,1.4234894659493977,1.2338255745798767,1.2321887843026587
5,2018,46080,1.4581261577755664,1.2342669475186283,1.484578970027259,1.1469944973722213,1.2195625783281812,1.3932056825087444,1.2269547455553298,1.236571289737133,1.2639104839751316,1.4542954879056524,1.1449500895588138,1.133201925249788,1.178009346753922,1.3338862759557413,1.2565992900872491,1.1805845749986594
6,2018,46076,1.774880670937834,1.5522546790647767,1.8107324642482252,1.4707735574918166,1.5504250469341385,1.5761107788128097,1.440389741024259,1.4633655477206087,1.4428357924096331,1.7671582661131986,1.4390003318134545,1.4364499727601892,1.460150434734277,1.8331021135421348,1.5149984221980404,1.5109718852227179
7,2018,46001,1.619550237302213,1.3686687927915986,1.678303593799309,1.4642406698735229,1.4891416083343199,1.403237247643611,1.411922689751377,1.4045642240322185,1.396646536139451,1.588418868475156,1.4322441457980166,1.429494902389616,1.4043324540631454,1.600577827715393,1.4109469139857769,1.4239626095298323
8,2017,46083,1.2490631479818408,1.1283701312962815,1.2660398946436515,1.1871952145445204,1.1347069576949473,1.1722601506340669,1.0733437984317706,1.0814990054213487,1.0692393820874977,1.248810712595895,1.0754120805631915,1.0763424087245208,1.0781033884488407,1.1065245387827072,1.0590867425071038,1.06664038754964
9,2017,46080,1.2068576808751914,1.0300115674478583,1.2200900309677072,1.0866490972983174,1.0628646735177645,0.9937560346295224,1.0927271148638031,1.0388901725776731,1.1829405421870411,1.2058141884587528,1.090602874506752,1.073766626267337,1.0637555430825978,1.093532113709423,1.0058308293660836,1.0274742430731851
10,2017,46076,1.4262109006985288,1.2571189611961477,1.437485989258772,1.2565988045313086,1.3037294065961358,1.4672128708727843,1.2532967979692484,1.2571102868297341,1.2260768827200663,1.4270199681725797,1.2367270966325146,1.2367270966325143,1.2345112480383427,1.3238162595957532,1.2272030138739545,1.2308195608469024
11,2017,46001,1.8322175439700221,1.5436496256584495,1.8478363999317275,1.459849666606511,1.58583419310236,1.5717897764937454,1.5604586079023268,1.499693370107195,4.160348117914553,1.833495220975424,1.5181125406657305,1.5158495657618165,1.4980940734713986,2.5015257345296673,1.5265125583821952,1.7024915555317215
