Year,Station,Metric,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
,,MAPE,0.4142 ,0.3571 ,0.4117 ,0.3753 ,0.4119 ,0.3771 ,0.3964 ,0.3862 ,0.3973 ,0.4163 ,0.3935 ,0.3936 ,0.3816 ,0.4149 ,0.3854 ,0.3902 
,46080,RMSE,1.2069 ,1.0300 ,1.2201 ,1.0866 ,1.0629 ,0.9938 ,1.0927 ,1.0389 ,1.1829 ,1.2058 ,1.0906 ,1.0738 ,1.0638 ,1.0935 ,1.0058 ,1.0275 
,,MASE,6.7235 ,5.5123 ,6.8827 ,5.8443 ,5.4093 ,5.6247 ,6.3133 ,5.8000 ,6.4760 ,6.7230 ,6.1273 ,6.0498 ,5.9409 ,6.1329 ,5.4295 ,5.6930 
,,MAPE,0.4101 ,0.3489 ,0.4277 ,0.3578 ,0.3123 ,0.3944 ,0.4324 ,0.3796 ,0.4213 ,0.4107 ,0.4033 ,0.3999 ,0.3916 ,0.4053 ,0.3485 ,0.3747 
,46076,RMSE,1.4262 ,1.2571 ,1.4375 ,1.2566 ,1.3037 ,1.4672 ,1.2533 ,1.2571 ,1.2261 ,1.4270 ,1.2367 ,1.2367 ,1.2345 ,1.3238 ,1.2272 ,1.2308 
,,MASE,9.2001 ,7.7808 ,9.2289 ,7.9147 ,7.8965 ,8.9097 ,7.7348 ,8.1740 ,7.6036 ,9.2079 ,7.5870 ,7.5870 ,7.5957 ,8.3491 ,7.6190 ,7.6252 
,,MAPE,0.4196 ,0.3723 ,0.4181 ,0.4004 ,0.3429 ,0.3786 ,0.3594 ,0.4056 ,0.3543 ,0.4202 ,0.3482 ,0.3482 ,0.3491 ,0.3805 ,0.3588 ,0.3531 
,46001,RMSE,1.8322 ,1.5436 ,1.8478 ,1.4598 ,1.5858 ,1.5718 ,1.5605 ,1.4997 ,4.1603 ,1.8335 ,1.5181 ,1.5158 ,1.4981 ,2.5015 ,1.5265 ,1.7025 
,,MASE,9.5055 ,7.6395 ,9.5427 ,7.7242 ,7.9837 ,7.6768 ,8.1567 ,7.5236 ,17.0538 ,9.5538 ,8.0601 ,8.0420 ,7.7497 ,12.4290 ,8.0945 ,9.0938 
,,MAPE,0.4368 ,0.3598 ,0.4359 ,0.4030 ,0.3587 ,0.3520 ,0.4054 ,0.3559 ,0.7762 ,0.4408 ,0.4033 ,0.4023 ,0.3791 ,0.5912 ,0.4071 ,0.4479 
