,Year,Station,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
0,2019,46083,2.18571111023306,2.1733146898044997,2.201394798502449,2.0997888867244785,2.1833972043021994,2.1793400359990107,2.2477579701755688,2.150043046872356,2.091464864935506,2.206118675329065,2.122453246905997,2.104909891660895,2.093200381604569,2.1133156470941854,2.096755054300239,2.0836027653262588
1,2019,46080,2.300054385953569,2.272957454193089,2.32031893132787,3.087119166752489,2.214387004096793,2.283234198162949,2.7826177448823426,2.3518224628963202,3.0209573444389064,2.3526223106466606,2.2751233415520167,2.336204007833922,2.1289204183237422,2.206473330709347,2.1754446527580225,2.115152851169795
2,2019,46076,2.2862890081144713,2.286380523775666,2.341383202387667,2.1708205540963608,2.210796172425889,2.305981663353172,2.3299978112893682,2.175072619254531,2.094769127798128,2.35050883628385,2.129226861142069,2.118158362257643,2.1242179143794138,2.093930765945904,2.1322831676413156,2.098027065628922
3,2019,46001,1.790372488242588,1.7553461093360345,1.8844883793779803,1.5932873822104119,1.770403108559397,1.7542428912478356,1.6600629753621778,1.728813319744549,1.6249436881794146,1.8640454465334648,1.6394574478503579,1.630202722554109,1.6233179904025072,1.6786700616981687,1.6662716678092255,1.6255312897855254
4,2018,46083,2.28756223138209,2.260306518496777,2.348818294660158,2.138850120866263,2.2672626584346327,2.2534723281183138,2.339695323438802,2.3036674341326075,2.1636204353403063,2.3338786284063455,2.149699530126626,2.153340078690658,2.1395967612118088,2.0701204929518986,2.12779704283083,2.0973703442631555
5,2018,46080,2.144423226102645,2.1132579723933587,2.2011219364399146,1.97423657311051,2.3562750703433633,2.320454079734649,2.244212823948982,2.4111819265488412,1.9949117949374773,2.189892479818075,1.927484583038278,1.9067110189868781,1.9055779154931654,1.9221363345479543,1.8808611512836446,1.8633056011543885
6,2018,46076,2.4793842814518823,2.470044753626015,2.475123737568168,2.277793028963801,2.3288633767453297,2.486618837829947,2.472075175859259,2.319689270741503,2.301376597836775,2.506931111195553,2.327915437561455,2.295398230088496,2.3137758112094398,2.2843362831858407,2.2790462143559496,2.2645919370698135
7,2018,46001,2.0487945766267974,2.011685372271158,2.0583971107026358,1.963680365635948,2.0246050001126576,2.0692235739642513,1.9809503788417955,1.9538488974655395,1.9212450882517256,2.079087646285948,1.9305849449416281,1.897796410526179,1.885896854123546,1.9141297325026483,1.8772578675930813,1.8741496607990515
8,2017,46083,1.7525905052501085,1.7410181545819796,1.7553361601623816,1.8697421385431747,1.8711771795077687,1.9487849108439954,2.0952961036187943,1.7473570994571919,1.821557183961163,1.7912197847691929,1.75305170406692,1.7472052596977286,1.7497665591356597,1.7323942672957764,1.7497479989948055,1.710214898974557
9,2017,46080,1.5415050851773646,1.5134215726037021,1.5463050388390929,1.442284871829848,1.533158095806151,1.5072304210656542,1.4889128610805054,1.403184492062923,1.4421041731386557,1.5593034128120469,1.4657636947292119,1.4289158123640882,1.4126788857823338,1.4122812467640051,1.4135735735735735,1.3941555348451897
10,2017,46076,2.01523000588161,2.0103974537054996,2.023130134174247,1.9675118189383056,2.2394954788129553,2.133074215916491,2.169183256791667,2.06782908270891,1.9134908453522486,2.045535888630409,1.9186789710662222,1.898069167149415,1.8967237200094451,1.8969479611994402,1.8931970176577066,1.879579461756196
11,2017,46001,1.9291938345211985,1.9023627912331358,1.9367170833875957,2.276902844650106,1.8171945725904868,1.8776774338136224,4.4594376156708995,1.9380267940112594,3.512105019600272,1.9851196813282708,2.1414783080241007,2.0321623735279775,1.8020792480897967,1.8815845747728577,1.782895281788385,1.7759716280948503
