,0
0,1.6056811
1,1.4905018
2,1.6183891
3,1.6156509
4,1.5878634
5,1.5940145
6,1.6277574
7,1.6111544
8,1.6086509
9,1.6650059
10,1.6025509
11,1.6187598
12,1.5099546
13,1.4263583
14,1.3880073
15,1.3275687
16,1.4242316
17,1.4881278
18,1.4762944
19,1.3668809
20,1.2280762
21,1.2356366
22,1.19888
23,1.252039
24,1.1568444
25,1.0586655
26,1.0145466
27,0.97839904
28,0.922497
29,0.995578
30,0.99921095
31,0.95877814
32,0.87615544
33,0.83339816
34,0.75204146
35,0.87906355
36,0.8704174
37,0.79590964
38,0.7166477
39,0.7812444
40,0.7558341
41,0.7774186
42,0.79335725
43,0.8121198
44,0.79539365
45,0.80303264
46,0.7065698
47,0.8080176
48,0.86215764
49,0.825999
50,0.9029072
51,0.8565451
52,0.8934751
53,0.9229002
54,0.8906182
55,0.9751656
56,1.144505
57,1.2111263
58,1.191925
59,1.2419605
60,1.2977957
61,1.4464331
62,1.6607738
63,2.0407352
64,2.2060928
65,2.2539756
66,2.6048744
67,2.4441724
68,2.5930262
69,2.2658105
70,2.1438012
71,2.0510883
72,1.8997326
73,1.7125597
74,1.6547629
75,1.62345
76,1.6583662
77,1.6275022
78,1.6010828
79,1.5382949
80,1.4462729
81,1.4477092
82,1.5007676
83,1.4322575
84,1.3102306
85,1.4202571
86,1.3826807
87,1.5050244
88,1.5807285
89,1.6880565
90,1.5616163
91,1.509233
92,1.5735799
93,1.9116946
94,2.2803168
95,2.4315917
96,2.3720665
97,2.0409873
98,2.0032003
99,1.962884
100,2.0112429
101,2.0996091
102,2.0758748
103,2.0267236
104,1.7508364
105,1.6583283
106,1.6493496
107,1.5793818
108,1.589234
109,1.5795131
110,1.7346016
111,2.0252979
112,2.267648
113,2.4584126
114,2.5551906
115,2.555075
116,2.7245421
117,2.5222335
118,2.5813417
119,2.854558
120,2.576198
121,2.5405898
122,2.6503854
123,2.650745
124,2.7983918
125,2.648365
126,2.6749
127,2.7403557
128,3.0032015
129,2.8413582
130,2.9811873
131,3.0287378
132,3.0278754
133,3.0804412
134,2.9645398
135,3.163424
136,3.3537455
137,3.7265704
138,3.9941335
139,4.2565618
140,4.6603394
141,4.6843333
142,4.703301
143,4.599015
144,4.994616
145,5.05532
146,5.3824625
147,5.464669
148,5.4957337
149,5.2753744
150,5.151355
151,5.224188
152,4.9407434
153,4.990345
154,5.0700803
155,4.8304133
156,4.8725348
157,4.9149213
158,4.7842183
