,0
0,1.2310913
1,1.2221109
2,1.2307072
3,1.2741146
4,1.2448378
5,1.2257348
6,1.2199266
7,1.3153974
8,1.4770087
9,1.3378862
10,1.3923972
11,1.4089435
12,1.3662746
13,1.4011621
14,1.4355295
15,1.4332373
16,1.3320148
17,1.3792118
18,1.4311521
19,1.3807076
20,1.5674481
21,1.3172164
22,1.2462798
23,1.2335587
24,1.2243981
25,1.213102
26,1.2410452
27,1.2867585
28,1.2715034
29,1.189579
30,1.219179
31,1.125578
32,1.066961
33,1.0537696
34,0.9939587
35,0.95021904
36,0.98399484
37,0.96057427
38,1.0126742
39,0.9913709
40,1.028155
41,1.0881124
42,1.1425346
43,1.2256588
44,1.1939284
45,1.2501285
46,1.2509964
47,1.2421108
48,1.2315192
49,1.154813
50,1.2509613
51,1.2935596
52,1.3277638
53,1.3693044
54,1.5341185
55,1.5877043
56,1.8552876
57,2.0326047
58,2.4151592
59,2.5135806
60,2.8597248
61,3.5222595
62,4.0875826
63,4.5361285
64,4.677723
65,4.9536295
66,5.1861444
67,5.682858
68,5.6628594
69,5.4098577
70,5.585957
71,5.501454
72,5.6371055
73,6.020905
74,6.2236633
75,6.4724674
76,6.9470606
77,7.9402328
78,7.64211
79,7.879039
80,8.065526
81,7.422759
82,7.6055245
83,7.518473
84,7.901804
85,7.435588
86,7.316961
87,7.4460225
88,7.334026
89,6.4108124
90,6.6424627
91,6.4982595
92,6.5331926
93,6.4121146
94,5.6855116
95,5.238155
96,5.084406
97,4.7452083
98,4.5669074
99,4.276994
100,4.101978
101,3.7575617
102,3.660964
103,3.3163636
104,3.3158658
105,3.376448
106,3.3106363
107,3.3035622
108,3.3350034
109,3.38123
110,3.3659573
111,3.6190577
112,3.5709648
113,3.442836
114,3.3384786
115,3.2732067
116,3.3120298
117,3.3627393
118,3.4351134
119,3.5545716
120,3.3637183
121,3.3844113
122,3.3173325
123,3.250874
124,3.0143175
125,2.7443156
126,2.4249654
127,2.1041708
128,2.0386286
129,2.068787
130,1.9912574
131,1.9406686
132,1.7941189
133,1.6971422
134,1.5474119
135,1.6016455
136,1.4872627
137,1.4633801
138,1.4152167
139,1.3410122
140,1.3503618
141,1.3868787
142,1.338311
143,1.3529414
144,1.473518
145,1.5209283
146,1.5702852
147,1.753109
148,2.0005121
149,2.2366066
150,2.4473486
151,2.923441
152,3.1464329
153,3.6906404
154,3.989794
155,4.123978
156,4.4484024
157,4.665372
158,4.731752
159,4.8008785
160,5.102216
161,5.65538
162,5.567059
163,5.7020497
164,5.3643513
165,5.2447834
166,5.477648
167,5.8293867
168,6.061519
169,6.045231
170,6.0809007
171,6.1873207
172,5.997026
173,5.4528913
174,5.109496
175,5.2529845
176,5.26287
177,5.313407
178,5.3541603
179,5.7695756
180,5.662077
181,5.4977775
182,5.2875323
183,5.1153445
184,4.556448
185,4.1847863
186,4.1717796
187,4.2287803
188,4.0713053
189,4.1894226
190,4.5236697
191,4.389349
192,4.579416
193,4.4344406
194,4.577927
195,4.145657
196,3.7734733
197,3.4656403
198,3.6360269
199,3.597791
200,3.4329736
201,3.406655
202,3.2731116
203,3.3617253
204,3.4005013
205,3.4095035
206,3.391632
207,3.3606944
208,3.1050243
209,3.024227
210,2.9555297
211,2.7731733
212,2.8644297
213,2.7661495
214,2.7399228
215,2.8909733
216,2.8593276
217,3.0388036
218,3.0958438
219,3.0234926
220,3.0036113
221,2.6819124
222,2.5476034
223,2.5360854
224,2.4527583
225,2.5475578
226,2.5319061
227,2.5693436
228,2.6930826
229,2.6692793
230,2.573601
231,2.5352116
232,2.5218399
233,2.4180088
234,2.3337014
235,2.2937694
236,2.1899529
237,2.0787125
