,0
0,1.2421227
1,1.2581019
2,1.300968
3,1.3773497
4,1.3251632
5,1.310798
6,1.3326136
7,1.3911132
8,1.516677
9,1.4488529
10,1.4139472
11,1.4869038
12,1.4683901
13,1.5407985
14,1.4226391
15,1.4565842
16,1.3787208
17,1.4230254
18,1.5043685
19,1.4512955
20,1.5838991
21,1.3832114
22,1.3178346
23,1.2689316
24,1.2596734
25,1.2621076
26,1.3201464
27,1.312142
28,1.2560885
29,1.1967206
30,1.1976928
31,1.1460242
32,1.0718087
33,1.0367876
34,0.9941848
35,0.9633578
36,0.99572206
37,1.0244002
38,0.99431956
39,1.0192755
40,1.0408841
41,1.1219522
42,1.2142684
43,1.2751887
44,1.2616024
45,1.2879186
46,1.2788512
47,1.2585322
48,1.2397544
49,1.1682096
50,1.2689744
51,1.3848401
52,1.3704879
53,1.3971347
54,1.5703254
55,1.6239488
56,1.9205173
57,2.0957723
58,2.3036606
59,2.4712229
60,2.8495307
61,3.4869003
62,4.043509
63,4.383934
64,4.5247283
65,4.7860756
66,5.0669675
67,5.677948
68,5.873063
69,5.5348053
70,5.6853113
71,5.577498
72,5.6525936
73,5.981496
74,6.2157073
75,6.4580574
76,6.800101
77,7.4768934
78,7.3453565
79,7.4849834
80,7.6335597
81,7.326622
82,7.4952908
83,7.4060655
84,7.629859
85,7.3223777
86,7.186712
87,7.1634617
88,7.1194134
89,6.4750857
90,6.5654426
91,6.472805
92,6.4802985
93,6.438349
94,5.7609324
95,5.3151174
96,5.1809683
97,4.890767
98,4.5691323
99,4.439604
100,4.1320305
101,3.8300965
102,3.6307998
103,3.3138187
104,3.3686888
105,3.3977916
106,3.4106717
107,3.395793
108,3.3632607
109,3.4086103
110,3.436729
111,3.6690335
112,3.5852642
113,3.496287
114,3.3118107
115,3.3784285
116,3.4660218
117,3.4349837
118,3.5049012
119,3.6052237
120,3.3737285
121,3.3589754
122,3.3731449
123,3.3196929
124,2.9769878
125,2.7077796
126,2.4826305
127,2.223678
128,2.1885142
129,2.101674
130,2.004625
131,1.9146489
132,1.8459178
133,1.677706
134,1.5772673
135,1.66202
136,1.5296516
137,1.4928174
138,1.4585439
139,1.380748
140,1.3326385
141,1.4349787
142,1.4719237
143,1.4543642
144,1.4996881
145,1.542902
146,1.5767162
147,1.6910007
148,1.9209938
149,2.0962884
150,2.4028068
151,2.9150088
152,3.095056
153,3.70466
154,3.976779
155,4.000402
156,4.4219193
157,4.6907043
158,4.7500978
159,4.834198
160,5.132753
161,5.6257634
162,5.485697
163,5.525244
164,5.2443624
165,5.1278
166,5.328753
167,5.683008
168,5.9069448
169,5.872796
170,5.9697857
171,6.0114617
172,5.8977294
173,5.4058905
174,5.1458397
175,5.2571707
176,5.231754
177,5.194439
178,5.188464
179,5.4273148
180,5.372032
181,5.2459593
182,5.082863
183,5.0038595
184,4.5742526
185,4.1835794
186,4.1658363
187,4.149321
188,3.9598427
189,4.0053077
190,4.351293
191,4.1667323
192,4.349798
193,4.237092
194,4.4005394
195,4.0704904
196,3.7719002
197,3.4688604
198,3.6504254
199,3.5670826
200,3.2658148
201,3.2577927
202,3.0278492
203,3.200343
204,3.2532103
205,3.3962963
206,3.3670943
207,3.371226
208,3.0382571
209,3.0360668
210,2.9592643
211,2.7623236
212,2.8522058
213,2.6489053
214,2.6321106
215,2.8239615
216,2.7749941
217,3.0282845
218,3.113882
219,2.967537
220,2.9822373
221,2.5984964
222,2.473781
223,2.5766842
224,2.4908917
225,2.6116552
226,2.5288248
227,2.5390859
228,2.6510525
229,2.6570299
230,2.52917
231,2.5705976
232,2.578583
233,2.3941724
234,2.3221667
235,2.2925062
236,2.1960042
237,2.0613997
238,2.0053556
239,1.8413
240,1.7406048
241,1.833577
242,2.008079
243,1.9199809
244,1.7885859
245,1.6164438
246,1.5556426
247,1.4775496
248,1.4170967
249,1.3974628
250,1.3061674
251,1.2887903
252,1.438089
253,1.414053
254,1.4461464
255,1.4609132
256,1.3696371
257,1.1979163
258,1.141104
259,1.119273
260,1.1945052
261,1.3051846
262,1.4229375
263,1.4725142
264,1.8230356
265,2.3889172
266,2.7829072
267,3.3086314
