,0
0,5.874528443666719
1,6.621466346175479
2,6.931195794542115
3,6.863424116963786
4,6.271152464141742
5,6.302214881046997
6,6.117906781337869
7,6.333955047131058
8,6.293720317025839
9,5.949833632924598
10,5.383334256130649
11,5.75923008934844
12,5.514298126580573
13,5.450511248361973
14,4.740823274300688
15,4.18256141035185
16,3.875682109459067
17,4.136160110739616
18,4.289002626864307
19,4.18126487347605
20,4.0956131580028
21,4.210029512604543
22,4.126145301195801
23,4.012217978771199
24,3.7837326700170397
25,3.627509200450644
26,3.247492080827508
27,3.6769897758529435
28,3.786956286470082
29,3.29247179410062
30,3.2708895866373457
31,3.0837865857816014
32,2.9032787309254466
33,2.8897253652720742
34,3.0199832392852417
35,2.77550822650854
36,3.058556930168602
37,2.9252232100433595
38,3.0087436224384616
39,3.0344758451009017
40,2.8972307083108553
41,3.200272092705125
42,3.436147205220531
43,3.7504584693859084
44,4.043851685788335
45,4.275151076489938
46,5.039175162728575
47,5.856366117062852
48,6.279620000109474
49,6.531389850012834
50,6.624557922794818
51,6.12156352086243
52,6.15518355868313
53,5.643604786467712
54,5.264846855145607
55,4.934066402338227
56,4.910174071020364
57,4.611180264858643
58,4.942982590278183
59,4.75708065576197
60,4.415622665033273
61,4.279159693029317
62,4.164441942759849
63,4.366699391889642
64,4.331929136809717
65,4.251923704901751
66,4.207087878667873
67,4.118806497280846
68,3.9881802770239903
69,3.944244964619616
70,3.8706226179856076
71,4.278275325005784
72,4.295599112913327
73,4.035962753614008
74,4.092845301206933
75,3.886496504907659
76,3.5675676389339963
77,3.573120046332055
78,3.581540631811019
79,3.54235162207939
80,3.429171788414033
81,3.5444485691055654
82,3.879155875238677
83,3.9115630206868697
84,4.119107638228141
85,3.9007797825259583
86,4.219739700675523
87,4.367103763088522
88,4.486642356724071
89,4.540324682842606
90,5.129315317726526
91,5.159840927575452
92,5.472694676004353
93,5.486565025474096
94,5.175201030329212
95,4.778292259163889
96,4.610372310751513
97,5.010705874604121
98,5.113795337356887
99,4.748986848439717
100,4.572020987138342
101,4.455501642187693
102,4.32920222078231
103,4.1885593341146246
104,3.734746307791909
105,3.6527564841183833
106,3.3056157079986472
107,3.2607775878744847
108,3.165488211568479
109,3.098868960028827
110,3.090415330892536
111,3.1899651055080973
112,3.4368941221223372
113,3.611186923652094
114,3.444025949162369
115,3.440662383187287
116,3.145450037421973
117,3.358758047277595
118,3.3915973059914974
119,3.619043678336622
120,3.7647529482755595
121,3.6960419237670283
122,3.7591453314646923
123,3.7861001314152354
124,3.8066284345496
125,3.896652028240642
126,4.105900180590157
127,4.160597641677018
128,4.303375860367773
129,4.701243252980567
130,5.1888373547054885
131,5.523823817144016
132,5.639185018322749
133,6.005009292619087
134,6.429006304171907
135,6.934296308076767
136,7.152414360761608
137,7.042248843051599
138,6.613069843992147
139,6.94563325011316
140,6.678130944642568
141,7.021352571755703
142,7.039867045527808
143,6.414480320123381
144,5.726829845992162
145,5.43825842855991
146,5.618261392336399
147,5.5183852759559855
148,5.429742424592988
149,5.245021452910024
150,5.555757606185232
151,4.920459571328668
152,5.1935461875050875
153,5.001743305584263
154,5.115071026070613
155,4.767250923089881
156,4.556583092763132
157,4.678915712592212
158,4.567220855838241
159,4.2652597102720256
160,4.120394794453987
161,4.240234104026965
162,3.9917617474415548
163,3.663133817250337
164,3.1937481364750884
165,3.096513859111358
166,3.169428158436195
167,3.1002537481342354
168,3.0106991380598607
169,2.9422527784211265
170,2.798366560834531
171,2.836709764173423
172,2.6716267073140285
173,2.8376292643300034
174,2.9002471646912995
175,2.7768563572865372
176,2.543238980943982
177,2.401093946429254
178,2.540646999184726
179,2.7296381260558253
180,2.3991173257742986
181,2.1921427067449155
182,2.2255686911815546
183,2.3000321868130085
184,2.43191262950193
185,2.2463242337576643
186,2.4846561807988343
187,2.5280118919119046
188,2.636033434863654
189,2.6003574678034855
190,2.6113137568877103
191,2.56899843746968
192,2.6864972996501844
193,2.8235951072372596
194,2.887428402540605
195,2.9262511249161527
196,3.0686994620969386
197,3.060395005259885
198,3.1603964218720972
199,3.017083551124184
200,3.125582809004727
201,3.1206626944505866
202,3.087869584118133
203,3.0210440113084034
204,2.9872316593500274
205,2.8773147201340596
206,2.7193898422043197
207,2.6803739494214995
208,2.8283309054516517
209,2.7883048407879834
210,2.3321631932052354
211,2.8521693662409793
212,2.9753180943164415
213,2.9516890693568536
214,3.1724558832344227
215,3.1595716253491566
216,3.161631843236895
217,3.0695163382350694
218,3.0199834537376065
219,2.941322236705472
220,2.757871585651888
221,2.8298899718573347
222,2.8276613337858745
223,2.6648641454794952
224,2.7261841245089276
225,2.4794440092853
226,2.144789938651462
227,2.05321355026068
228,2.0388918387013435
229,2.012865417059468
230,1.9744520496044893
231,2.0284195277393415
232,1.9919162938629054
233,2.1109912279407834
234,2.136568248066274
235,2.08398858737372
236,2.0704908095923678
237,2.133765090482305
238,2.076168265608263
239,1.9575220502368367
240,1.9562312474748307
241,1.904353321813574
242,1.8606119957388931
243,1.8545698332916223
244,1.8853392598697873
245,1.8701941173830432
246,1.6450858932313877
247,1.7453273817045187
248,1.7816348387094048
249,1.8413722165845718
250,1.8143174344491928
251,1.957707776050346
252,1.912667214007178
253,1.829983161552373
254,1.8762712651038682
255,1.690260325484589
256,1.6563432787224475
257,1.6898162450890764
258,1.5928415864599703
259,1.881783983112626
260,1.9939263218114922
