Unnamed: 0,0,1,2,3,4,5,6,7,8,9
0,4.686420806399172,4.674306137939373,4.677113578530894,4.650583633185467,4.664782825603717,4.694458805559276,4.660525517531069,4.714662427149758,4.701640366384212,4.704291753726522
1,4.506976835325631,4.507381053998059,4.515148055205493,4.4885021791045405,4.4836078634349,4.505306709775937,4.503259118083103,4.537239277880365,4.5242535481109885,4.541426169615938
2,4.246549191158099,4.236146864152046,4.262829267303773,4.24379971170669,4.282922149224915,4.258443980244722,4.257584069797878,4.28024660201139,4.299128875664895,4.303567826246723
3,4.02541266318192,3.9763460987860415,3.9586494851381215,3.993809419202334,3.985079343006212,3.969892899860607,3.9867194427571135,3.985692242889439,3.949754346404248,4.004982079700679
4,3.936590290907157,3.948903692417597,3.929414508094884,3.9431253057276137,3.949922109076093,3.953753288409427,3.944799489854128,3.9828687932706814,3.976951071854532,3.94643625205723
5,3.8276158408446346,3.852632662070305,3.861355657632291,3.881625804950679,3.869634858648994,3.85457614726332,3.873060574713747,3.878429115618567,3.879960286091727,3.848746875737071
6,4.088224760475569,4.16548204276812,4.158664091703327,4.188526422496943,4.125437050545877,4.1351398363750045,4.165983705180951,4.146143153814042,4.202710693166918,4.137159102713709
7,3.8780846743944575,3.948188632317987,3.938459033786604,3.9712330961367504,3.898698656059905,3.913975120300945,3.9101932680251834,3.919051121254975,3.947350490866888,3.928059691721644
8,3.9923468859502234,4.1015983931140365,4.048240156867705,4.078603329290526,4.067231603922846,4.088260437055946,4.100020769517028,4.041356296029743,4.114251145378888,4.0425467491515565
9,3.841079287918686,3.824286048987944,3.903836460078872,3.868492738552859,3.8436497586690415,3.84916718786282,3.850685336242321,3.8404145989706864,3.8672410491248135,3.8505773452401777
10,3.770222791564904,3.8316563458186303,3.8211528912948074,3.838279437219151,3.83162860447981,3.828343498348184,3.811825555779735,3.824276266805719,3.85135819741588,3.7904073351288754
11,3.655685808614174,3.6984274170574936,3.713249459389655,3.702633650748019,3.684565989650853,3.698298425237785,3.691032220159189,3.7466083939003214,3.745978533328394,3.6829349520115855
