,0
0,2.3814828
1,2.364008
2,2.3967009
3,2.4872699
4,2.417868
5,2.4069479
6,2.431949
7,2.5973792
8,2.895157
9,2.9990106
10,3.3598897
11,3.4036148
12,3.6290374
13,3.4466696
14,3.2420886
15,2.4260952
16,2.4723759
17,2.4679434
18,2.486259
19,2.6894593
20,2.7915642
21,2.7355347
22,2.8072293
23,2.8155262
24,2.9265845
25,3.4543622
26,3.283081
27,2.780837
28,2.0139937
29,1.8319259
30,1.787548
31,1.9236658
32,2.5754066
33,2.7109666
34,2.5865648
35,2.6144705
36,2.6117678
37,2.7027416
38,3.1873598
39,4.1868157
40,5.178218
41,5.570469
42,6.1438656
43,5.9435
44,5.5579696
45,5.0801253
46,4.7948003
47,4.583411
48,4.3645315
49,3.9221427
50,3.6254265
51,3.5854473
52,3.433706
53,3.3836586
54,3.168838
55,2.8949423
56,2.6214187
57,2.5062768
58,2.3763049
59,2.4035134
60,2.3283043
61,2.2122328
62,2.1128933
63,2.047595
64,1.892379
65,1.7781273
66,1.6299458
67,1.4917057
68,1.3924953
69,1.3858616
70,1.3965364
71,1.3721994
72,1.35635
73,1.3554611
74,1.3611351
75,1.4143206
76,1.3705626
77,1.3301991
78,1.3443705
79,1.3748045
80,1.4280849
81,1.4534384
82,1.5236902
83,1.602734
84,1.6420118
85,1.840695
86,1.8959965
87,1.9461263
88,1.9175893
89,1.8912115
90,1.8704848
91,1.7757384
92,1.7400537
93,1.7475584
94,1.7865494
95,1.7990675
96,1.8482044
97,1.8455534
98,1.81862
99,1.7886274
100,1.7236928
101,1.7714123
102,1.8705708
103,1.8274034
104,1.8366116
105,1.7420074
106,1.6818397
107,1.5772604
108,1.6273522
109,1.6927015
110,1.7271416
111,1.8068532
112,2.0436115
113,2.085621
114,2.0442765
115,1.9952298
116,1.9607993
117,1.8574524
118,1.614629
119,1.6100885
120,1.4938735
121,1.491219
122,1.4246846
123,1.3866754
124,1.2654518
125,1.1151177
126,1.0902356
127,1.0421014
128,0.98657525
129,1.0269109
130,0.9836262
131,0.9848285
132,1.0087287
133,1.0177848
134,1.1114655
135,1.1663835
136,1.248822
137,1.1713442
138,1.1019508
139,1.1537124
140,1.183702
141,1.2363389
142,1.2709324
143,1.4580877
144,1.5711405
145,1.5590323
146,1.6918406
147,1.733821
148,1.779338
149,1.9518231
150,2.2653837
151,2.526786
152,3.11154
153,3.181382
154,3.1039932
155,3.0792115
156,3.0819013
157,3.2449913
158,3.2835627
159,3.6244462
160,3.648431
161,4.1647344
162,4.1905828
163,4.6945586
164,5.1560473
165,4.6643734
166,4.702108
167,4.832964
168,4.5237103
169,4.3269486
170,4.732106
171,4.7325854
172,4.7574177
173,4.867543
174,4.483723
175,4.227943
176,3.8335676
177,3.3573613
178,4.7903624
179,5.1633086
180,4.6854067
181,4.706376
182,4.8461866
183,4.2251277
184,3.7217054
185,3.6511233
186,3.6573117
187,3.7311265
188,3.9556525
