,0
0,3.377187
1,4.0862885
2,4.504315
3,4.9171567
4,4.855912
5,5.8147206
6,5.8914227
7,5.589545
8,6.0973654
9,5.458847
10,4.730267
11,4.1639943
12,4.3021393
13,3.9769728
14,4.293217
15,4.7231307
16,4.490183
17,4.797875
18,5.046295
19,4.500918
20,4.2851844
21,4.3079443
22,4.0976424
23,4.0563045
24,3.9131293
25,3.7221644
26,3.3650055
27,3.1144078
28,3.2610257
29,3.2807531
30,3.2816749
31,2.9037914
32,2.734933
33,2.7492218
34,2.5862513
35,2.4936476
36,2.60186
37,2.7575479
38,2.7415867
39,2.6818886
40,2.9376595
41,3.2140567
42,3.486069
43,4.2484794
44,4.839887
45,4.5401926
46,3.8848486
47,4.2174835
48,3.890481
49,4.440127
50,4.585958
51,4.8957186
52,6.7222867
53,7.825816
54,7.087843
55,5.9553466
56,5.919677
57,6.147148
58,5.848609
59,5.7734823
60,5.7305746
61,5.2262936
62,5.2021856
63,5.0979495
64,5.135156
65,4.9398737
66,4.418753
67,4.5306454
68,4.2451377
69,4.419521
70,3.8327081
71,3.641516
72,3.4650004
73,3.4129949
74,3.3552825
75,3.7017686
76,3.6206045
77,3.3828614
78,3.420963
79,3.494488
80,3.2196236
81,2.9229639
82,2.9833717
83,2.8370879
84,2.7575495
85,2.6493866
86,2.454053
87,2.3256383
88,2.377773
89,2.440883
90,2.481129
91,2.7032218
92,2.807597
93,2.7729752
94,2.751447
95,2.6806183
96,3.472756
97,3.33797
98,3.3571787
99,3.4511
100,3.7287605
101,4.051273
102,4.015748
103,3.742762
104,4.1060305
105,5.8925824
106,6.918632
107,8.2027855
108,9.509194
109,8.267308
110,6.8745484
111,5.922955
112,5.0010166
113,5.1981063
114,5.2915616
115,5.300394
116,5.01536
117,5.017868
118,4.8924723
119,4.217892
120,4.353206
121,4.3503704
122,3.88799
123,3.285929
124,2.8881214
125,2.7457936
126,2.595354
127,2.5105007
128,2.5703635
129,2.881361
130,2.7786477
131,2.8091488
132,2.7999058
133,2.9509082
134,2.7297246
135,2.7151797
136,2.6594517
137,2.9024966
138,3.015617
139,3.0601923
140,2.8391352
141,2.40171
142,2.4437413
143,2.6846225
144,2.757158
145,2.8511832
146,3.116477
147,4.2826247
148,6.18729
149,6.512851
150,6.331341
151,5.541937
152,4.7929854
153,5.3499703
154,5.235069
155,4.440568
156,5.1484237
157,4.601739
158,5.0779924
159,6.101554
160,5.787505
161,4.983547
162,5.3394275
163,5.9876847
164,5.7197957
165,5.421993
166,5.1583285
167,4.7644157
168,4.7245045
169,5.0722976
170,5.2911987
171,4.836428
172,4.595666
173,4.340722
174,4.288
175,4.11235
176,3.7611327
177,3.3943586
178,3.1593957
179,2.8947256
180,2.777709
181,2.7349794
182,2.7046132
183,2.4691472
184,2.4514554
185,2.5184577
186,2.5302744
187,2.432012
188,2.3939848
189,2.244335
190,2.0743678
191,2.1467726
192,2.1903486
193,2.2086413
194,2.127779
195,2.0256991
196,2.0535104
197,2.0745037
198,1.9980432
199,2.2063432
200,2.2228513
201,2.0239284
202,1.7641164
203,1.6439638
204,1.6862028
205,1.7335211
206,1.7420363
207,1.9257627
208,2.3834472
209,2.7859232
210,3.2167122
211,3.8099449
212,4.167739
213,4.5684886
214,4.276156
215,3.966223
216,4.268613
217,3.5470335
218,3.4006643
219,3.394511
220,3.392967
221,3.896092
222,3.8186252
223,3.4201982
224,3.226941
225,2.8806336
226,2.8988423
227,2.8615024
228,2.7675016
229,2.6924305
230,2.6283243
231,2.7492049
232,2.6836565
