#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 325  3.6  4.7  3.26 10.00  7.89 262 1032.6   6.3   7.7  -3.5 99.0 99.00
2017 01 01 00 50 339  3.2  4.3  3.16 10.81  7.72 250 1033.4   5.7   7.6  -2.8 99.0 99.00
2017 01 01 01 50 314  2.5  3.6  2.98 10.81  7.85 252 1034.6   5.7   7.7  -2.7 99.0 99.00
2017 01 01 02 50  49  1.9  3.5  3.10 11.43  8.01 244 1034.9   5.8   7.6  -2.1 99.0 99.00
2017 01 01 03 50 323  0.8  1.9  2.49 10.00  7.51 254 1035.5   5.8   7.6  -2.6 99.0 99.00
2017 01 01 04 50 239  0.2  1.0  2.85 10.00  7.92 251 1036.0   5.7   7.7  -2.2 99.0 99.00
2017 01 01 05 50 208  0.3  1.5  2.87 10.81  7.88 259 1036.3   5.8   7.7  -1.7 99.0 99.00
2017 01 01 06 50 261  3.2  4.8  2.60 10.81  8.05 246 1036.0   5.8   7.7  -1.3 99.0 99.00
2017 01 01 07 50 248  2.6  3.8  2.59 10.00  7.91 266 1036.8   6.0   7.7  -0.8 99.0 99.00
2017 01 01 08 50 275  4.3  5.4  2.59 10.00  7.71 268 1036.9   6.3   7.7   0.4 99.0 99.00
2017 01 01 09 50 266  4.8  6.0  2.49 10.00  7.67 258 1036.6   6.3   7.7   0.7 99.0 99.00
2017 01 01 10 50 276  5.0  5.9  2.62 10.00  7.92 268 1036.2   6.3   7.7   0.7 99.0 99.00
2017 01 01 11 50 293  5.6  6.8  2.43  9.09  7.76 268 1036.0   6.2   7.7   1.5 99.0 99.00
2017 01 01 12 50 299  6.4  7.6  2.54  9.09  7.63 268 1035.5   6.2   7.7   1.2 99.0 99.00
2017 01 01 13 50 289  7.0  8.2  2.31  9.09  7.58 277 1034.5   6.0   7.7   0.4 99.0 99.00
2017 01 01 14 50 293  5.7  7.1  2.05  9.09  7.16 278 1034.7   6.0   7.7   0.6 99.0 99.00
2017 01 01 15 50 307  3.6  4.4  1.89  9.09  6.95 256 1034.7   6.0   7.7   0.2 99.0 99.00
2017 01 01 16 50 353  3.9  4.9  1.78  8.33  6.95 244 1034.6   5.8   7.7   1.7 99.0 99.00
2017 01 01 17 50 336  4.3  5.4  1.81  8.33  7.32 260 1034.7   5.6   7.7  -0.2 99.0 99.00
2017 01 01 18 50 341  3.5  4.6  1.75 11.43  7.64 251 1034.6   5.3   7.7  -0.4 99.0 99.00
2017 01 01 19 50 335  3.9  5.1  1.52 13.79  6.89 241 1034.5   5.5   7.7   0.3 99.0 99.00
2017 01 01 20 50 329  4.9  6.0  1.66 12.90  7.10 245 1034.2   5.6   7.7   0.1 99.0 99.00
2017 01 01 21 50 321  4.7  5.7  1.64  8.33  7.09 258 1033.7   5.6   7.7  -1.9 99.0 99.00
2017 01 01 22 50 308  3.9  4.9  1.53 11.43  6.88 239 1033.3   5.7   7.7   0.0 99.0 99.00
2017 01 01 23 50 311  4.2  5.0  1.48 10.81  6.85 244 1032.9   5.7   7.7   0.6 99.0 99.00
2017 01 02 00 50 307  3.8  4.6  1.50 12.12  6.93 249 1032.6   5.8   7.7   1.2 99.0 99.00
2017 01 02 01 50 304  4.6  5.9  1.48 12.12  6.91 256 1032.3   5.8   7.7   1.5 99.0 99.00
2017 01 02 02 50 304  6.2  7.8  1.34  7.69  6.39 262 1032.2   5.9   7.7   1.5 99.0 99.00
2017 01 02 03 50 304  7.8  8.9  1.24 12.90  5.83 232 1031.5   5.6   7.6   0.8 99.0 99.00
2017 01 02 04 50 296  6.8  7.9  1.40 12.90  5.66 254 1031.1   5.7   7.6  -0.8 99.0 99.00
2017 01 02 05 50 300  6.6  7.5  1.40 11.43  5.84 239 1031.1   6.0   7.6  -3.1 99.0 99.00
2017 01 02 06 50 300  6.5  7.5  1.38 11.43  5.89 250 1031.0   6.1   7.6  -0.6 99.0 99.00
2017 01 02 07 50 304  6.9  8.3  1.34 12.12  5.50 231 1030.4   5.6   7.6  -0.4 99.0 99.00
2017 01 02 08 50 314  8.2  9.6  1.35 11.43  5.33 206 1029.9   5.7   7.6  -1.6 99.0 99.00
2017 01 02 09 50 309  6.7  7.8  1.26 10.81  4.89 241 1030.2   5.8   7.6   0.5 99.0 99.00
2017 01 02 10 50 303  6.9  8.4  1.30 10.81  5.22 242 1029.9   6.4   7.6   1.6 99.0 99.00
2017 01 02 11 50 318  7.3  9.5  1.38 10.00  5.00 269 1029.9   6.3   7.6   2.2 99.0 99.00
2017 01 02 12 50 310  7.2  8.6  1.36 10.81  5.04 244 1029.9   6.2   7.6   2.9 99.0 99.00
2017 01 02 13 50 320  4.6  5.3  1.35 11.43  5.45 254 1030.0   6.3   7.7   3.2 99.0 99.00
2017 01 02 14 50 302  3.3  3.9  1.24  6.25  5.28 264 1030.4   6.1   7.7   3.1 99.0 99.00
2017 01 02 15 50 297  3.7  4.6  1.35 11.43  5.53 248 1030.7   6.2   7.7   3.4 99.0 99.00
2017 01 02 16 50 303  5.0  6.2  1.19  5.88  5.34 266 1030.5   6.2   7.7   3.6 99.0 99.00
2017 01 02 17 50 323  4.7  5.8  1.29  6.67  5.59 268 1030.7   6.4   7.7   4.0 99.0 99.00
2017 01 02 18 50 333  3.1  3.7  1.21  6.67  5.49 266 1031.1   6.3   7.7   3.8 99.0 99.00
2017 01 02 19 50 346  1.7  2.5  1.24  6.25  5.70 255 1031.6   6.1   7.7   3.5 99.0 99.00
2017 01 02 20 50   7  0.6  1.4  1.22  6.67  5.73 274 1031.6   6.6   7.7   3.6 99.0 99.00
2017 01 02 21 50 329  1.6  2.4  1.15  6.25  5.68 270 1031.3   6.6   7.7   3.8 99.0 99.00
2017 01 02 22 50 331  2.0  2.8  1.23  6.25  5.88 270 1031.6   6.3   7.7   3.9 99.0 99.00
2017 01 02 23 50 297  1.4  2.4  1.23  6.25  6.12 272 1031.7   6.1   7.6   3.6 99.0 99.00
2017 01 03 00 50 321  1.9  2.4  1.23 14.81  6.14 247 1031.5   6.1   7.6   3.9 99.0 99.00
2017 01 03 01 50 299  1.7  2.4  1.30 14.81  6.84 244 1031.4   6.2   7.6   4.1 99.0 99.00
