#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 245  3.1  4.1  1.70  6.67  5.52 999 1040.2   6.2   6.5   1.3 99.0 99.00
2017 01 01 00 50 243  5.3  6.4  1.86  6.67  5.65 999 1039.9   6.0   6.6   1.5 99.0 99.00
2017 01 01 01 50 226  3.6  4.3  1.59  6.25  5.27 999 1039.4   5.8   6.6   1.7 99.0 99.00
2017 01 01 02 50 236  4.3  5.1  1.56  5.88  5.21 999 1039.5   6.1   6.5   2.7 99.0 99.00
2017 01 01 03 50 235  4.4  5.1  1.37  5.26  4.69 999 1039.6   6.3   6.3   3.6 99.0 99.00
2017 01 01 04 50 256  4.3  5.4  1.31  5.26  4.75 999 1039.8   6.4   6.3   2.9 99.0 99.00
2017 01 01 05 50 232  5.4  6.3  1.22  5.00  4.66 999 1039.8   6.5   6.4   1.9 99.0 99.00
2017 01 01 06 50 229  5.6  7.0 99.00 99.00 99.00 999 1040.2   6.6   6.4   1.5 99.0 99.00
2017 01 01 07 50 230  5.9  7.3  1.17  5.00  4.53 999 1040.2   6.4   6.4   2.2 99.0 99.00
2017 01 01 08 50 234  7.0  8.3  1.14  5.56  4.71 999 1040.1   6.2   6.4   2.5 99.0 99.00
2017 01 01 09 50 224  7.2  8.7  1.22  5.56  4.45 999 1039.9   6.1   6.4   2.9 99.0 99.00
2017 01 01 10 50 234  7.7  9.2  1.18  5.56  4.42 999 1039.5   6.2   6.3   2.6 99.0 99.00
2017 01 01 11 50 222  6.2  7.4  1.27  5.26  4.53 999 1039.2   6.2   6.6   3.5 99.0 99.00
2017 01 01 12 50 210  6.4  8.1  1.16  5.26  4.38 999 1039.1   6.2   6.7   3.6 99.0 99.00
2017 01 01 13 50 217  7.3  8.1  1.13  4.55  4.43 999 1039.1   6.2   6.7   3.5 99.0 99.00
